https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1608163200000,2020-12-17 00:00:00,ADA/USDT,0.16850,0.17721,0.16066,0.16361,998525626,168404386.91668,429223
1608076800000,2020-12-16 00:00:00,ADA/USDT,0.15396,0.16880,0.14908,0.16850,682347721,109058362.55653,320227
1607990400000,2020-12-15 00:00:00,ADA/USDT,0.15888,0.16024,0.15288,0.15395,362460274,56485630.68849,196286
1607904000000,2020-12-14 00:00:00,ADA/USDT,0.15422,0.15897,0.14972,0.15887,386395679,59376840.52372,213913
1607817600000,2020-12-13 00:00:00,ADA/USDT,0.14442,0.15670,0.14292,0.15423,460031021,69799040.52099,223873
1607731200000,2020-12-12 00:00:00,ADA/USDT,0.13936,0.14744,0.13879,0.14443,353010529,51100255.52179,171323
1607644800000,2020-12-11 00:00:00,ADA/USDT,0.14189,0.14290,0.13483,0.13933,425074398,59026830.67926,225335
1607558400000,2020-12-10 00:00:00,ADA/USDT,0.14796,0.14877,0.13895,0.14188,377810528,54414262.37358,196717
1607472000000,2020-12-09 00:00:00,ADA/USDT,0.14114,0.15032,0.13001,0.14808,754054173,105808921.58053,316228
1607385600000,2020-12-08 00:00:00,ADA/USDT,0.15413,0.15537,0.13700,0.14115,609821212,89235496.83293,251939
1607299200000,2020-12-07 00:00:00,ADA/USDT,0.15887,0.15925,0.15150,0.15411,259993303,40357724.05509,157784
1607212800000,2020-12-06 00:00:00,ADA/USDT,0.16010,0.16313,0.15302,0.15888,395065835,62278745.16203,195067
1607126400000,2020-12-05 00:00:00,ADA/USDT,0.14793,0.16218,0.14611,0.16008,516225244,80795384.04881,248524
1607040000000,2020-12-04 00:00:00,ADA/USDT,0.16422,0.16495,0.14601,0.14793,633594574,99402468.56600,271142
1606953600000,2020-12-03 00:00:00,ADA/USDT,0.15857,0.16873,0.15526,0.16424,586213421,95001216.21110,253964
1606867200000,2020-12-02 00:00:00,ADA/USDT,0.15564,0.16021,0.15071,0.15857,596699947,93308607.26827,265042
1606780800000,2020-12-01 00:00:00,ADA/USDT,0.17235,0.17504,0.14115,0.15567,1558114609,249954729.89746,538873
1606694400000,2020-11-30 00:00:00,ADA/USDT,0.16692,0.17420,0.16017,0.17231,1340343480,225553791.48590,450886
1606608000000,2020-11-29 00:00:00,ADA/USDT,0.16501,0.17174,0.15722,0.16690,1218806194,199706968.87364,419841
1606521600000,2020-11-28 00:00:00,ADA/USDT,0.14174,0.17356,0.13851,0.16503,1746679209,277005876.98180,552500
1606435200000,2020-11-27 00:00:00,ADA/USDT,0.13878,0.14574,0.13075,0.14174,967788192,132476161.82003,359402
1606348800000,2020-11-26 00:00:00,ADA/USDT,0.15503,0.16144,0.11698,0.13872,2290233686,310320557.45380,767293
1606262400000,2020-11-25 00:00:00,ADA/USDT,0.16758,0.17655,0.14710,0.15510,1588486067,262554325.13627,561342
1606176000000,2020-11-24 00:00:00,ADA/USDT,0.15493,0.18434,0.15168,0.16758,2315445528,387058840.69760,797195
1606089600000,2020-11-23 00:00:00,ADA/USDT,0.14625,0.15967,0.14108,0.15494,1861335778,282349842.25174,650490
1606003200000,2020-11-22 00:00:00,ADA/USDT,0.13360,0.15399,0.12010,0.14626,2563077726,348672498.03648,762573
1605916800000,2020-11-21 00:00:00,ADA/USDT,0.11853,0.13509,0.11600,0.13354,1360464139,170936848.42634,394719
1605830400000,2020-11-20 00:00:00,ADA/USDT,0.10595,0.11944,0.10563,0.11852,647998293,72139076.87990,223048
1605744000000,2020-11-19 00:00:00,ADA/USDT,0.10678,0.10840,0.10450,0.10597,351840828,37415624.16647,143956
1605657600000,2020-11-18 00:00:00,ADA/USDT,0.10971,0.11188,0.10137,0.10679,639498635,68372900.78933,193354
1605571200000,2020-11-17 00:00:00,ADA/USDT,0.10392,0.11298,0.10362,0.10966,596937092,65190272.35903,198838
1605484800000,2020-11-16 00:00:00,ADA/USDT,0.10053,0.10516,0.09955,0.10390,312455787,32209989.15383,129973
1605398400000,2020-11-15 00:00:00,ADA/USDT,0.10420,0.10541,0.09857,0.10053,278085101,28529715.00173,123624
1605312000000,2020-11-14 00:00:00,ADA/USDT,0.10640,0.10753,0.10150,0.10416,286289126,29809741.59649,121559
1605225600000,2020-11-13 00:00:00,ADA/USDT,0.10461,0.10813,0.10405,0.10647,357427001,37998605.46557,142855
1605139200000,2020-11-12 00:00:00,ADA/USDT,0.10603,0.10668,0.10257,0.10461,310191660,32499891.91486,130157
1605052800000,2020-11-11 00:00:00,ADA/USDT,0.10595,0.10904,0.10552,0.10603,364263544,39165279.91874,150665
1604966400000,2020-11-10 00:00:00,ADA/USDT,0.10567,0.10927,0.10363,0.10594,408360657,43462428.62105,160565
1604880000000,2020-11-09 00:00:00,ADA/USDT,0.10667,0.10814,0.10135,0.10567,441474144,46250981.05907,166040
1604793600000,2020-11-08 00:00:00,ADA/USDT,0.10144,0.10849,0.09984,0.10667,390086217,41128912.86787,146525
1604707200000,2020-11-07 00:00:00,ADA/USDT,0.10920,0.11420,0.09877,0.10140,838995800,89679869.84177,260888
1604620800000,2020-11-06 00:00:00,ADA/USDT,0.09759,0.11025,0.09707,0.10917,717542859,75768495.79647,242587
1604534400000,2020-11-05 00:00:00,ADA/USDT,0.09550,0.09818,0.09212,0.09758,483732244,46241414.96617,156038
1604448000000,2020-11-04 00:00:00,ADA/USDT,0.09355,0.09633,0.09157,0.09549,477315439,44859289.89226,169200
1604361600000,2020-11-03 00:00:00,ADA/USDT,0.09223,0.09417,0.08790,0.09354,433644516,39637752.19809,166204
1604275200000,2020-11-02 00:00:00,ADA/USDT,0.09822,0.09999,0.09134,0.09225,467479008,44552755.04848,158825
1604188800000,2020-11-01 00:00:00,ADA/USDT,0.09291,0.09866,0.09237,0.09822,295960126,28219694.58703,140111
1604102400000,2020-10-31 00:00:00,ADA/USDT,0.09332,0.09549,0.09204,0.09291,272150091,25521785.35307,134762
1604016000000,2020-10-30 00:00:00,ADA/USDT,0.09537,0.09570,0.08911,0.09333,503529603,46628944.85963,177620
1603929600000,2020-10-29 00:00:00,ADA/USDT,0.09872,0.10091,0.09487,0.09536,470867105,46072553.05095,160668
1603843200000,2020-10-28 00:00:00,ADA/USDT,0.10256,0.10330,0.09484,0.09872,525633399,51853225.23884,179075
1603756800000,2020-10-27 00:00:00,ADA/USDT,0.10304,0.10578,0.10181,0.10256,333987695,34715771.21994,141236
1603670400000,2020-10-26 00:00:00,ADA/USDT,0.10649,0.10766,0.09868,0.10303,431096041,44515477.48961,154020
1603584000000,2020-10-25 00:00:00,ADA/USDT,0.10812,0.10888,0.10610,0.10650,212341434,22793741.18244,111529
1603497600000,2020-10-24 00:00:00,ADA/USDT,0.10811,0.11009,0.10740,0.10813,235916885,25663134.64722,118139
1603411200000,2020-10-23 00:00:00,ADA/USDT,0.11085,0.11249,0.10521,0.10814,456747054,49802389.84889,157405
1603324800000,2020-10-22 00:00:00,ADA/USDT,0.10591,0.11300,0.10530,0.11089,485211197,53045887.72379,171045
1603238400000,2020-10-21 00:00:00,ADA/USDT,0.10237,0.10875,0.10131,0.10597,457541286,48398222.32386,166800
1603152000000,2020-10-20 00:00:00,ADA/USDT,0.10868,0.10893,0.10039,0.10238,448740733,46652793.66199,163574
1603065600000,2020-10-19 00:00:00,ADA/USDT,0.10745,0.11134,0.10609,0.10868,378875511,41139645.58956,156412
1602979200000,2020-10-18 00:00:00,ADA/USDT,0.10593,0.10771,0.10510,0.10742,172268035,18317281.05174,96341
1602892800000,2020-10-17 00:00:00,ADA/USDT,0.10424,0.10763,0.10321,0.10593,253793480,26894705.28797,120925
1602806400000,2020-10-16 00:00:00,ADA/USDT,0.10672,0.10742,0.10230,0.10422,314532163,32752569.08948,135451
1602720000000,2020-10-15 00:00:00,ADA/USDT,0.10711,0.10785,0.10440,0.10673,316295229,33635344.48806,138446
1602633600000,2020-10-14 00:00:00,ADA/USDT,0.10930,0.11246,0.10525,0.10714,466186740,50892578.40994,172505
1602547200000,2020-10-13 00:00:00,ADA/USDT,0.10956,0.11439,0.10749,0.10931,630523914,70067760.69033,212376
1602460800000,2020-10-12 00:00:00,ADA/USDT,0.10649,0.11381,0.10221,0.10948,530244000,57169116.46811,223345
1602374400000,2020-10-11 00:00:00,ADA/USDT,0.10492,0.10906,0.10415,0.10643,479141516,51092061.08272,165192
1602288000000,2020-10-10 00:00:00,ADA/USDT,0.10130,0.11135,0.10129,0.10495,741162735,79638112.38353,244886
1602201600000,2020-10-09 00:00:00,ADA/USDT,0.09627,0.10256,0.09482,0.10130,368354994,36234561.18238,144122
1602115200000,2020-10-08 00:00:00,ADA/USDT,0.09371,0.09728,0.08965,0.09627,363752727,34121042.02595,145432
1602028800000,2020-10-07 00:00:00,ADA/USDT,0.09286,0.09449,0.08933,0.09371,232536288,21533574.86762,115121
1601942400000,2020-10-06 00:00:00,ADA/USDT,0.09736,0.09860,0.09119,0.09290,377832755,35807807.59128,154080
1601856000000,2020-10-05 00:00:00,ADA/USDT,0.09687,0.09959,0.09585,0.09735,254833269,24872511.42929,118814
1601769600000,2020-10-04 00:00:00,ADA/USDT,0.09329,0.09802,0.09203,0.09688,243828799,23165945.73993,120705
1601683200000,2020-10-03 00:00:00,ADA/USDT,0.09289,0.09532,0.09210,0.09327,231753965,21774227.49494,106968
1601596800000,2020-10-02 00:00:00,ADA/USDT,0.09804,0.10039,0.08959,0.09288,495917304,46574888.37685,191894
1601510400000,2020-10-01 00:00:00,ADA/USDT,0.10138,0.10469,0.09440,0.09803,435981342,43640335.35167,159972
1601424000000,2020-09-30 00:00:00,ADA/USDT,0.10111,0.10173,0.09661,0.10138,366248580,36350175.05189,143581
1601337600000,2020-09-29 00:00:00,ADA/USDT,0.10029,0.10358,0.09734,0.10109,439022075,44217891.24447,157344
1601251200000,2020-09-28 00:00:00,ADA/USDT,0.10135,0.10678,0.09955,0.10023,656279754,68165123.46810,219745
1601164800000,2020-09-27 00:00:00,ADA/USDT,0.09545,0.10280,0.09425,0.10130,680859374,67304530.84944,203211
1601078400000,2020-09-26 00:00:00,ADA/USDT,0.09687,0.10000,0.09224,0.09548,609005850,58342489.47353,185041
1600992000000,2020-09-25 00:00:00,ADA/USDT,0.08259,0.09862,0.08237,0.09686,1212535350,112326492.18648,299879
1600905600000,2020-09-24 00:00:00,ADA/USDT,0.07669,0.08380,0.07549,0.08261,417583569,33380374.37113,134397
1600819200000,2020-09-23 00:00:00,ADA/USDT,0.08149,0.08281,0.07552,0.07668,362706271,28938092.54856,123471
1600732800000,2020-09-22 00:00:00,ADA/USDT,0.07988,0.08335,0.07904,0.08148,314308648,25660109.61092,105664
1600646400000,2020-09-21 00:00:00,ADA/USDT,0.08943,0.09020,0.07685,0.07984,462484243,38156858.04794,143097
