https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1615075200000,2021-03-07 00:00:00,XMR/USDT,204.54,210.34,202.53,209.35,125772.480,26000356.61644,79908
1614988800000,2021-03-06 00:00:00,XMR/USDT,206.13,208.37,198.30,204.49,175738.443,35684923.42658,89633
1614902400000,2021-03-05 00:00:00,XMR/USDT,217.61,217.64,202.87,206.14,135665.614,28210851.06189,91238
1614816000000,2021-03-04 00:00:00,XMR/USDT,219.00,224.10,209.51,217.62,176232.471,38078416.69319,121585
1614729600000,2021-03-03 00:00:00,XMR/USDT,220.54,229.18,215.82,218.99,175874.535,39056615.84214,108752
1614643200000,2021-03-02 00:00:00,XMR/USDT,230.63,232.57,210.91,220.39,194731.082,43296313.16280,112175
1614556800000,2021-03-01 00:00:00,XMR/USDT,219.10,230.69,210.11,230.60,222129.198,48902099.14495,133439
1614470400000,2021-02-28 00:00:00,XMR/USDT,209.17,227.63,197.88,219.22,389418.015,82790607.92322,205659
1614384000000,2021-02-27 00:00:00,XMR/USDT,204.14,223.23,203.33,209.26,245979.725,52882752.38500,134955
1614297600000,2021-02-26 00:00:00,XMR/USDT,198.29,217.70,193.41,204.11,313874.035,64204224.71009,181529
1614211200000,2021-02-25 00:00:00,XMR/USDT,204.50,218.44,195.94,198.39,255786.467,52997028.86326,144724
1614124800000,2021-02-24 00:00:00,XMR/USDT,221.01,225.87,197.54,204.31,367176.857,78290145.80027,208626
1614038400000,2021-02-23 00:00:00,XMR/USDT,224.64,225.93,169.64,221.03,568729.179,112450371.56374,434517
1613952000000,2021-02-22 00:00:00,XMR/USDT,247.95,249.34,182.66,224.64,454620.164,102012480.49811,294804
1613865600000,2021-02-21 00:00:00,XMR/USDT,255.56,261.82,244.11,247.96,257280.178,65411199.85004,196102
1613779200000,2021-02-20 00:00:00,XMR/USDT,283.13,290.57,245.50,255.47,325106.300,87422672.34326,246530
1613692800000,2021-02-19 00:00:00,XMR/USDT,261.40,284.95,252.61,283.03,299129.043,80849748.21310,216813
1613606400000,2021-02-18 00:00:00,XMR/USDT,272.36,277.69,252.76,261.33,295617.487,78174306.64837,211095
1613520000000,2021-02-17 00:00:00,XMR/USDT,221.54,275.47,221.10,272.25,570139.666,141246948.12548,361324
1613433600000,2021-02-16 00:00:00,XMR/USDT,228.33,235.05,210.20,221.60,239140.969,53331809.64740,189167
1613347200000,2021-02-15 00:00:00,XMR/USDT,230.56,234.47,203.15,228.41,376961.193,82741050.77669,255603
1613260800000,2021-02-14 00:00:00,XMR/USDT,241.79,244.14,223.38,230.51,362981.721,84559300.30189,230557
1613174400000,2021-02-13 00:00:00,XMR/USDT,201.40,255.87,196.92,241.74,694403.184,155441772.51315,408463
1613088000000,2021-02-12 00:00:00,XMR/USDT,190.76,216.72,190.76,201.41,462229.755,94422730.77006,261317
1613001600000,2021-02-11 00:00:00,XMR/USDT,175.73,193.50,170.61,190.76,302365.426,55470949.96996,202634
1612915200000,2021-02-10 00:00:00,XMR/USDT,169.87,184.88,163.70,175.81,341421.271,59459639.75441,213467
1612828800000,2021-02-09 00:00:00,XMR/USDT,163.46,175.25,158.60,169.88,215489.554,35726764.26229,153231
1612742400000,2021-02-08 00:00:00,XMR/USDT,150.58,164.23,147.60,163.41,206816.148,32173799.21530,147174
1612656000000,2021-02-07 00:00:00,XMR/USDT,152.52,156.57,147.56,150.55,178846.436,27110231.90689,138152
1612569600000,2021-02-06 00:00:00,XMR/USDT,155.54,158.64,152.03,152.53,153045.212,23860734.86804,121062
1612483200000,2021-02-05 00:00:00,XMR/USDT,148.50,156.03,147.77,155.56,180033.262,27441051.94055,116812
1612396800000,2021-02-04 00:00:00,XMR/USDT,154.90,156.15,148.05,148.45,163015.072,24730072.78338,124859
1612310400000,2021-02-03 00:00:00,XMR/USDT,151.46,155.99,150.55,154.90,231089.867,35533673.64747,111630
1612224000000,2021-02-02 00:00:00,XMR/USDT,143.69,152.40,143.14,151.37,246948.008,36251310.85484,120660
1612137600000,2021-02-01 00:00:00,XMR/USDT,137.94,146.49,135.90,143.69,282089.822,40088944.01016,129711
1612051200000,2021-01-31 00:00:00,XMR/USDT,139.97,140.85,132.53,137.94,214141.777,29292335.20986,115203
1611964800000,2021-01-30 00:00:00,XMR/USDT,140.55,142.40,136.52,139.97,217257.157,30209540.32312,113250
1611878400000,2021-01-29 00:00:00,XMR/USDT,135.56,151.92,132.28,140.55,435726.740,61167206.47617,199660
1611792000000,2021-01-28 00:00:00,XMR/USDT,125.56,140.81,123.66,135.54,482890.063,64595855.72557,204100
1611705600000,2021-01-27 00:00:00,XMR/USDT,137.91,138.26,125.22,125.53,279766.659,36771856.87741,156870
1611619200000,2021-01-26 00:00:00,XMR/USDT,137.18,140.71,133.30,137.97,267624.501,36795751.48282,125566
1611532800000,2021-01-25 00:00:00,XMR/USDT,138.16,145.55,136.87,137.14,264388.592,37212977.20358,108722
1611446400000,2021-01-24 00:00:00,XMR/USDT,139.16,143.19,134.19,138.09,275415.450,38399925.21671,117845
1611360000000,2021-01-23 00:00:00,XMR/USDT,135.68,141.86,133.89,139.01,363717.170,50221730.30011,123469
1611273600000,2021-01-22 00:00:00,XMR/USDT,130.65,141.34,122.00,135.65,354547.425,47211378.02666,146711
